sequence_index,phase,time_s,cluster_id,observed_liquid_share,prior_liquid_share,posterior_liquid_share,observed_sand_share,prior_sand_share,posterior_sand_share,prior_half_length_m,posterior_half_length_m,fiber_liquid_allocation,posterior_cluster_factor,posterior_sand_transport_factor,allocation_source
35,calibration,2631.0,2,0.13140788543399817,0.13140788543399817,0.13140788543399817,0.16666666666666666,0.14775077934875847,0.14771713975872033,182.01636205060996,181.6527352182787,0.0013042776685946791,1.0,1.0,fiber_incremental_liquid_weight
35,calibration,2631.0,3,0.5328020514043003,0.5328020514043003,0.5328020514043003,0.16666666666666666,0.5053505995461779,0.5054690450221042,430.9756569245691,430.1146666752651,0.9979593100338355,1.0,1.0,fiber_incremental_liquid_weight
35,calibration,2631.0,4,0.08349262982022855,0.08349262982022855,0.08349262982022855,0.16666666666666666,0.08860599617648733,0.08858532617258165,138.4998424871188,138.22315165320373,0.000559927583311706,1.0,1.0,fiber_incremental_liquid_weight
35,calibration,2631.0,5,0.06402037991722398,0.06402037991722398,0.06402037991722398,0.16666666666666666,0.0633830491272342,0.06336717172807052,118.58931416805072,118.35239999081166,2.5283960244634846e-05,1.0,1.0,fiber_incremental_liquid_weight
36,calibration,2706.0,0,0.06919541437793275,0.06919541437793275,0.06919541437793275,0.16666666666666666,0.06699409004555622,0.06698195480347419,133.42537428909964,133.2490481819983,8.81795872874638e-05,1.0,1.0,fiber_incremental_liquid_weight
36,calibration,2706.0,1,0.10072644734736012,0.10072644734736012,0.10072644734736012,0.16666666666666666,0.10216858672592495,0.10214975104381663,166.76817930849992,166.54778956627501,4.148927698483002e-05,1.0,1.0,fiber_incremental_liquid_weight
36,calibration,2706.0,2,0.11862323082483123,0.11862323082483123,0.11862323082483123,0.16666666666666666,0.12881722152816338,0.12879444413907773,182.4987703330745,182.25759208721936,0.00038428428147428977,1.0,1.0,fiber_incremental_liquid_weight
36,calibration,2706.0,3,0.578304307575964,0.578304307575964,0.578304307575964,0.16666666666666666,0.5699346490904881,0.5700123403338369,484.2426828373875,483.60273989091326,0.9992490043741133,1.0,1.0,fiber_incremental_liquid_weight
36,calibration,2706.0,4,0.07537387317108532,0.07537387317108532,0.07537387317108532,0.16666666666666666,0.07720820519147313,0.07719449396224437,138.8619342661876,138.6784235627388,0.0002285571117646199,1.0,1.0,fiber_incremental_liquid_weight
36,calibration,2706.0,5,0.0577767267028266,0.0577767267028266,0.0577767267028266,0.16666666666666666,0.05487724741839422,0.05486701571755017,118.90128975786276,118.74415771559545,8.485368375464578e-06,1.0,1.0,fiber_incremental_liquid_weight
37,calibration,2781.0,0,0.062351678102531546,0.062351678102531546,0.062351678102531546,0.16666666666666666,0.05779792904401744,0.05780015653125184,134.15468575137325,134.17090353899658,0.00030228011221404707,1.0,1.0,fiber_incremental_liquid_weight
37,calibration,2781.0,1,0.09066129323804296,0.09066129323804296,0.09066129323804296,0.16666666666666666,0.08745781546164273,0.08746137883350319,167.45380358086825,167.47404685606946,3.526414753179746e-05,1.0,1.0,fiber_incremental_liquid_weight
37,calibration,2781.0,2,0.10684786079195226,0.10684786079195226,0.10684786079195226,0.16666666666666666,0.11087519313417558,0.11087953925687909,183.20970314161966,183.23185112727842,0.00031955348550834114,1.0,1.0,fiber_incremental_liquid_weight
37,calibration,2781.0,3,0.6201801612186363,0.6201801612186363,0.6201801612186363,0.16666666666666666,0.6303386020024863,0.630323970512845,541.4599386745097,541.5253950709284,0.9989898757811897,1.0,1.0,fiber_incremental_liquid_weight
37,calibration,2781.0,4,0.06796100283034304,0.06796100283034304,0.06796100283034304,0.16666666666666666,0.06659090979612085,0.06659348158206599,139.48261002307578,139.49947189661998,0.0003393443811544221,1.0,1.0,fiber_incremental_liquid_weight
37,calibration,2781.0,5,0.05199800381849389,0.05199800381849389,0.05199800381849389,0.16666666666666666,0.04693955056155717,0.04694147328345476,119.31595041552582,119.33037436749647,1.3682092401684674e-05,1.0,1.0,fiber_incremental_liquid_weight
38,calibration,2856.0,0,0.05637555889140276,0.05637555889140276,0.05637555889140276,0.16666666666666666,0.05059974917497994,0.05060459942469448,135.24215881132105,135.3131236875591,0.0030558526154973926,1.0,1.0,fiber_incremental_liquid_weight
38,calibration,2856.0,1,0.08170828543536277,0.08170828543536277,0.08170828543536277,0.16666666666666666,0.07509724331628068,0.07510557189295644,168.37997552047983,168.4683286215306,0.0006406400219938256,1.0,1.0,fiber_incremental_liquid_weight
38,calibration,2856.0,2,0.09666666424982104,0.09666666424982104,0.09666666424982104,0.16666666666666666,0.0978692462642358,0.09787801009755108,184.55087042541277,184.64770879145536,0.008606023738673757,1.0,1.0,fiber_incremental_liquid_weight
38,calibration,2856.0,3,0.6570334801879815,0.6570334801879815,0.6570334801879815,0.16666666666666666,0.6781163630924564,0.678084169769635,601.293263706246,601.6087770226317,0.9839498098012948,1.0,1.0,fiber_incremental_liquid_weight
38,calibration,2856.0,4,0.06135740750410756,0.06135740750410756,0.06135740750410756,0.16666666666666666,0.058302367384705456,0.058307952342927814,140.32524438835907,140.3988764842131,0.003654424947990291,1.0,1.0,fiber_incremental_liquid_weight
