sequence_index,phase,time_s,cluster_id,observed_liquid_share,prior_liquid_share,posterior_liquid_share,observed_sand_share,prior_sand_share,posterior_sand_share,posterior_half_length_m,posterior_cluster_factor,posterior_sand_transport_factor
7,calibration,526.0,5,0.1469202370472499,0.16414978789058843,0.16411867005501443,0.16666666666666666,0.14933961118702807,0.15113484280846864,11.918022139097827,0.9902520452213567,1.0149115361011518
8,calibration,601.0,0,0.17564353834732452,0.1614916825158654,0.16263444603467495,0.16666666666666666,0.1541951960464046,0.15247977607908045,17.059521172003134,1.0624065669915845,1.0460172062142112
8,calibration,601.0,1,0.16841334018616866,0.16741414129664708,0.16494414768700236,0.16666666666666666,0.17557825705427296,0.16877325832727547,13.436107709691514,0.9767379312114576,1.131960352111628
8,calibration,601.0,2,0.18090720118782477,0.16636899608777794,0.16610712910034442,0.16666666666666666,0.15211044162136808,0.15412995237121518,12.67771544048188,0.9615864269855678,1.0221919280672171
8,calibration,601.0,3,0.15642510422020442,0.17570132822124937,0.17824615573943128,0.16666666666666666,0.1965885976902397,0.2033918185140762,8.104184559769257,0.8877927427936425,1.2049467160087037
8,calibration,601.0,4,0.16910993090057674,0.16488136071030915,0.1644838703698133,0.16666666666666666,0.17037960263410024,0.1661721595928739,13.770169075023817,0.9840782754301379,1.119509017252984
8,calibration,601.0,5,0.14950088515790075,0.16414249116815108,0.16358425106873362,0.16666666666666666,0.1511479049536144,0.15505303511547863,14.614029022479302,1.00253603889239,1.0538056585829358
9,calibration,677.0,0,0.17536367355079935,0.16227119283446484,0.16251813946402377,0.16666666666666666,0.15107051508156236,0.15195255611438274,19.896341461649186,1.0695295927941586,1.0494778633868005
9,calibration,677.0,1,0.16985152180012916,0.16505463728940878,0.1651793215454345,0.16666666666666666,0.17015284249938634,0.16894845832236668,15.214213794025314,0.973477052916908,1.1369290610615954
9,calibration,677.0,2,0.18006296650638626,0.16638678534740725,0.1664088204563837,0.16666666666666666,0.15325629826630116,0.15404630332234232,14.349814809818378,0.9587459193047212,1.024418358020722
9,calibration,677.0,3,0.1568015508925107,0.1787117743078681,0.17836052340493389,0.16666666666666666,0.2041155710147256,0.20484323620491182,9.284613080185245,0.888705439224322,1.2191351882994312
9,calibration,677.0,4,0.16877731988735672,0.1642115172667304,0.16408282105620736,0.16666666666666666,0.16575094059396736,0.16469149098090308,16.14658036189577,0.9908621642032082,1.1201557120721408
9,calibration,677.0,5,0.14914296736281787,0.16336409295412085,0.16345037407301657,0.16666666666666666,0.15565383254405726,0.15551795505509347,16.862502422292884,1.00452084836902,1.0643177033763564
